total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.50,Male,No,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
14.89,3.04,Female,No,Sun,Lunch,2
17.23,4.00,Male,Yes,Sun,Lunch,3
15.85,3.92,Male,No,Sun,Lunch,2
12.01,1.50,Male,Yes,Sun,Lunch,2
17.81,2.34,Female,No,Sun,Lunch,4
19.82,3.18,Male,Yes,Sun,Lunch,2
23.95,2.55,Male,No,Sun,Lunch,2
25.08,3.00,Female,Yes,Sun,Lunch,2
24.55,2.00,Male,No,Sun,Lunch,4
19.49,3.51,Male,Yes,Sun,Lunch,2
38.01,3.00,Male,Yes,Sat,Breakfast,4
11.24,1.76,Male,Yes,Sat,Breakfast,2
20.29,2.75,Female,No,Sat,Breakfast,2
13.81,2.00,Male,Yes,Sat,Breakfast,2
11.02,1.98,Male,Yes,Sat,Breakfast,2
18.29,3.76,Male,Yes,Sat,Breakfast,4
17.59,2.64,Male,Yes,Sat,Breakfast,3
20.08,3.15,Male,Yes,Sat,Breakfast,3
16.45,2.47,Female,No,Sat,Breakfast,2
3.07,1.00,Female,Yes,Thur,Lunch,1
44.30,2.50,Female,Yes,Fri,Breakfast,3
22.42,3.48,Female,Yes,Fri,Breakfast,2
20.92,4.08,Female,Yes,Fri,Breakfast,2
15.36,1.64,Male,Yes,Fri,Breakfast,2
20.49,4.06,Male,Yes,Fri,Breakfast,2
25.21,4.29,Male,Yes,Fri,Breakfast,2
16.99,1.01,Female,No,Sun,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.50,Male,No,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
25.29,4.71,Male,No,Sun,Dinner,4
8.77,2.00,Male,No,Sun,Dinner,2
26.88,3.12,Male,No,Sun,Dinner,4
15.04,1.96,Male,No,Sun,Dinner,2
14.78,3.23,Male,No,Sun,Dinner,2
10.27,1.71,Male,No,Sun,Dinner,2
35.26,5.00,Female,No,Sun,Dinner,4
15.42,1.57,Male,No,Sun,Dinner,2
18.43,3.00,Male,No,Sun,Dinner,4
14.83,3.02,Female,No,Sun,Dinner,2
21.58,3.92,Male,No,Sun,Dinner,2
10.33,1.67,Female,No,Sun,Dinner,3
16.29,3.71,Male,No,Sun,Dinner,3
16.97,3.50,Female,No,Sun,Dinner,3
20.65,3.35,Male,No,Sun,Dinner,3
17.92,4.08,Male,No,Sun,Dinner,2
20.29,2.75,Female,No,Sun,Dinner,2
15.77,2.23,Female,No,Sun,Dinner,2
39.42,7.58,Male,No,Sun,Dinner,4
19.82,3.18,Male,No,Sun,Dinner,2
17.81,2.34,Male,No,Sun,Dinner,4
13.37,2.00,Male,No,Sun,Dinner,2
12.69,2.00,Male,No,Sun,Dinner,2
21.70,4.30,Male,No,Sun,Dinner,2
19.65,3.00,Female,No,Sat,Dinner,2
9.55,1.45,Male,No,Sat,Dinner,2
18.35,2.50,Male,No,Sat,Dinner,4
15.06,3.00,Female,No,Sat,Dinner,2
20.69,2.45,Female,No,Sat,Dinner,4
17.78,3.27,Male,No,Sat,Dinner,2
24.06,3.60,Male,No,Sat,Dinner,3
16.31,2.00,Male,No,Sat,Dinner,3
16.93,3.07,Female,No,Sat,Dinner,3
18.69,2.31,Male,No,Sat,Dinner,3
31.27,5.00,Male,No,Sat,Dinner,3
16.04,2.24,Male,No,Sat,Dinner,3
17.46,2.54,Male,No,Sun,Dinner,2
13.94,3.06,Male,No,Sun,Dinner,2
9.68,1.32,Male,No,Sun,Dinner,2
30.40,5.60,Male,No,Sun,Dinner,4
18.29,3.00,Male,No,Sun,Dinner,2
22.23,5.00,Male,No,Sun,Dinner,2
32.40,6.00,Male,No,Sun,Dinner,4
28.55,2.05,Male,No,Sun,Dinner,3
7.25,5.15,Male,Yes,Sun,Dinner,2
8.52,1.48,Male,Yes,Sun,Dinner,2
19.44,3.00,Male,Yes,Sun,Dinner,2
16.66,3.40,Male,Yes,Sun,Dinner,2
10.07,1.83,Female,Yes,Sun,Dinner,1
32.68,5.00,Male,Yes,Sun,Dinner,2
15.98,3.00,Female,Yes,Sun,Dinner,3
34.83,5.17,Female,Yes,Sun,Dinner,4
13.03,2.00,Male,Yes,Sun,Dinner,2
18.28,4.00,Male,Yes,Sun,Dinner,2
24.71,5.85,Male,Yes,Sun,Dinner,2
21.16,3.00,Male,Yes,Sun,Dinner,2
28.97,3.00,Male,Yes,Sun,Dinner,2
22.49,3.50,Male,Yes,Sun,Dinner,2
5.75,1.00,Female,Yes,Fri,Dinner,2
16.32,4.30,Female,Yes,Fri,Dinner,2
22.75,3.25,Female,Yes,Fri,Dinner,2
40.17,4.73,Male,Yes,Fri,Dinner,4
